k1,k2,ka,k1_avg,k2_avg,ka_avg,ζ_avg,prob_avg,λ1_avg,λ2_avg,λa_avg,σ_λ1,σ_λ2,σ_λa
5.0,93.0,49.0,5.0,93.0,49.0,-0.46543988,0.0,1.04207526,76.0654338,40.66146209,0.02238862,0.13430605,0.04094998
5.0,95.0,50.0,5.0,95.0,50.0,-0.46630484,0.0,1.03601485,77.93799614,41.59498502,0.028784,0.17317594,0.04434496
5.0,97.0,51.0,5.0,97.0,51.0,-0.46673579,0.0,1.04150049,79.72827922,42.5160849,0.0227118,0.19129626,0.05300684
5.0,99.0,52.0,5.0,99.0,52.0,-0.46734948,0.0,1.03567976,81.5850605,43.45619257,0.02309491,0.18280647,0.05506177
5.0,101.0,53.0,5.0,101.0,53.0,-0.46822666,0.0,1.03775838,83.5057397,44.40600114,0.02546568,0.16333815,0.03924272
5.0,103.0,54.0,5.0,103.0,54.0,-0.46881321,0.0,1.04713791,85.37278729,45.34881197,0.02088634,0.15245822,0.04814378
5.0,105.0,55.0,5.0,105.0,55.0,-0.46936982,0.0,1.03768637,87.21694346,46.27983805,0.02689902,0.1607891,0.04525558
5.0,107.0,56.0,5.0,107.0,56.0,-0.47010004,0.0,1.04558329,89.13991365,47.23515541,0.023055,0.16556294,0.05539961
5.0,109.0,57.0,5.0,109.0,57.0,-0.47054699,0.0,1.03550402,90.9716275,48.16504538,0.02479997,0.18589223,0.04422797
7.0,5.0,6.0,7.0,5.0,6.0,0.34035552,1.0,2.16550451,1.05084404,2.90177301,0.03689613,0.02262275,0.0124947
7.0,7.0,7.0,7.0,7.0,7.0,0.66154335,1.0,2.17737071,2.17338845,3.6434564,0.03177979,0.03274865,0.01619622
7.0,9.0,8.0,7.0,9.0,8.0,0.27971178,1.0,2.16916553,3.44222192,4.40415655,0.03977901,0.0506542,0.01674169
7.0,11.0,9.0,7.0,11.0,9.0,0.07532754,1.0,2.17443188,4.81975864,5.18241112,0.03068914,0.04475426,0.0196046
7.0,13.0,10.0,7.0,13.0,10.0,-0.04247412,0.0,2.16914759,6.23627058,5.97077049,0.03108084,0.06392416,0.01731788
7.0,15.0,11.0,7.0,15.0,11.0,-0.12112482,0.0,2.17138209,7.70538314,6.77167446,0.03096912,0.06156466,0.01977779
7.0,17.0,12.0,7.0,17.0,12.0,-0.17716266,0.0,2.17351833,9.21769163,7.5842896,0.03811,0.06675772,0.01932788
7.0,19.0,13.0,7.0,19.0,13.0,-0.21939299,0.0,2.17118125,10.77951436,8.4142175,0.03658567,0.07077384,0.01948521
7.0,21.0,14.0,7.0,21.0,14.0,-0.25155877,0.0,2.17048947,12.34489866,9.2391538,0.03315208,0.07187825,0.02598499
7.0,23.0,15.0,7.0,23.0,15.0,-0.27673956,0.0,2.17110807,13.93237518,10.07638545,0.03326173,0.08616993,0.02320121
7.0,25.0,16.0,7.0,25.0,16.0,-0.29870821,0.0,2.16028998,15.56997097,10.91878071,0.03670617,0.08954521,0.02683079
7.0,27.0,17.0,7.0,27.0,17.0,-0.31619567,0.0,2.17837209,17.20890368,11.76725307,0.03710714,0.08780905,0.02420832
7.0,29.0,18.0,7.0,29.0,18.0,-0.33160972,0.0,2.16772961,18.88846823,12.62457435,0.03229652,0.10139688,0.02240302
7.0,31.0,19.0,7.0,31.0,19.0,-0.34363475,0.0,2.16521947,20.53810823,13.48026295,0.0357492,0.09148035,0.02011533
7.0,33.0,20.0,7.0,33.0,20.0,-0.35466939,0.0,2.17565381,22.23115399,14.34621298,0.0386954,0.09442022,0.02069254
7.0,35.0,21.0,7.0,35.0,21.0,-0.36329973,0.0,2.17415652,23.90126382,15.21769341,0.03129339,0.10756079,0.03146753
7.0,37.0,22.0,7.0,37.0,22.0,-0.37213314,0.0,2.16890221,25.61867026,16.0848879,0.03858892,0.10440416,0.02617513
7.0,39.0,23.0,7.0,39.0,23.0,-0.37926551,0.0,2.17635833,27.33804472,16.96939792,0.03021324,0.11973293,0.03247867
7.0,41.0,24.0,7.0,41.0,24.0,-0.3857878,0.0,2.16325285,29.06942666,17.85458241,0.03232166,0.1099086,0.0280364
7.0,43.0,25.0,7.0,43.0,25.0,-0.39162987,0.0,2.16547617,30.79849264,18.73673805,0.03747303,0.09650352,0.03059484
7.0,45.0,26.0,7.0,45.0,26.0,-0.39739742,0.0,2.17785662,32.55659966,19.61849802,0.04083402,0.11623401,0.03256888
7.0,47.0,27.0,7.0,47.0,27.0,-0.40218411,0.0,2.16696774,34.29660579,20.50281665,0.04105348,0.13528676,0.0332323
7.0,49.0,28.0,7.0,49.0,28.0,-0.40645038,0.0,2.16833151,36.05319681,21.39923609,0.03613374,0.11131369,0.03960115
7.0,51.0,29.0,7.0,51.0,29.0,-0.41015941,0.0,2.16514729,37.79753817,22.29434279,0.02978979,0.11517457,0.03419477
7.0,53.0,30.0,7.0,53.0,30.0,-0.41389753,0.0,2.18393978,39.57917132,23.19729623,0.03037569,0.11675999,0.02843472
7.0,55.0,31.0,7.0,55.0,31.0,-0.41732018,0.0,2.1716143,41.34931198,24.09322276,0.03150688,0.12757699,0.03063366
7.0,57.0,32.0,7.0,57.0,32.0,-0.42075515,0.0,2.1670381,43.16950389,25.00553691,0.03698318,0.12382385,0.03033767
7.0,59.0,33.0,7.0,59.0,33.0,-0.42375949,0.0,2.17257672,44.96788142,25.91215754,0.03548712,0.12485194,0.02949014
