k1,k2,ka,k1_avg,k2_avg,ka_avg,ζ_avg,prob_avg,λ1_avg,λ2_avg,λa_avg,σ_λ1,σ_λ2,σ_λa
5.0,5.0,5.0,5.009600000000001,5.084,5.046799999999999,4.05931602,1.0,0.42888122,0.34305396,2.19558842,0.14209793,0.10574211,0.0669705
5.0,7.0,6.0,5.0476,7.000400000000001,6.023999999999999,2.74825883,1.0,0.43007436,0.77718381,2.88738367,0.10119079,0.07749695,0.07933585
5.0,9.0,7.0,5.1008000000000004,8.9596,7.030200000000001,2.43565011,1.0,0.46144949,1.14506419,3.60936626,0.09658841,0.37008431,0.1049475
5.0,11.0,8.0,5.0072,10.9436,7.975399999999999,1.08295674,1.0,0.38066462,2.18989338,4.29702979,0.11634399,0.56369563,0.13560977
5.0,13.0,9.0,5.05,12.9516,9.0008,0.63015619,1.0,0.4054862,3.27969769,5.06416474,0.1030654,0.70696374,0.08730336
5.0,15.0,10.0,5.095599999999999,15.091600000000003,10.0936,0.32529594,1.0,0.45694604,4.57009933,5.88308322,0.15096209,0.80531482,0.12706042
5.0,17.0,11.0,5.0924,16.9908,11.041599999999999,0.3267668,1.0,0.38026852,5.1770671,6.54466848,0.11519713,1.05073464,0.1462491
5.0,19.0,12.0,5.136,18.8656,12.000800000000002,0.08635523,0.7,0.39208994,6.80670771,7.33407282,0.11420211,0.68247291,0.12940867
5.0,21.0,13.0,4.992400000000001,21.038000000000004,13.015200000000002,0.06684095,0.5,0.4004655,7.78762522,8.08324313,0.13238853,1.27473422,0.16246867
5.0,23.0,14.0,5.023999999999999,22.9188,13.971399999999997,-0.07312273,0.2,0.39848375,9.62147254,8.84547474,0.09652762,0.94690305,0.14625761
5.0,25.0,15.0,5.0124,24.966799999999996,14.989600000000001,-0.11902242,0.0,0.43533601,10.97916852,9.6329222,0.09009199,0.75397885,0.1515735
5.0,27.0,16.0,5.09,27.013600000000004,16.051799999999997,-0.10702314,0.1,0.41657762,11.86164048,10.48020103,0.11144535,1.36467409,0.2233934
5.0,29.0,17.0,5.086,29.000799999999998,17.043400000000002,-0.1462133,0.0,0.4384322,13.24700282,11.23582109,0.11512911,1.12709445,0.13996276
5.0,31.0,18.0,5.0756,31.1784,18.127000000000002,-0.19147625,0.0,0.38790391,15.05628484,12.09902037,0.09084306,1.3294244,0.24375585
5.0,33.0,19.0,5.1339999999999995,33.0784,19.106199999999998,-0.19700914,0.0,0.40618345,16.05004542,12.83450777,0.09487608,1.16967169,0.17596093
5.0,35.0,20.0,5.0476,35.040800000000004,20.044199999999996,-0.24127906,0.0,0.44036663,18.12268453,13.70099655,0.13052669,1.20112466,0.33234854
5.0,37.0,21.0,5.0628,37.068,21.0654,-0.23145082,0.0,0.36479379,18.77620471,14.37831163,0.12836555,1.29234272,0.29825609
5.0,39.0,22.0,5.0156,38.952000000000005,21.983800000000002,-0.27891213,0.0,0.43405244,21.08247178,15.16654827,0.0968749,1.25041562,0.34384017
5.0,41.0,23.0,5.0148,41.1708,23.092800000000004,-0.27557852,0.0,0.42861632,22.17666181,16.04647292,0.11594901,0.96915861,0.33892549
5.0,43.0,24.0,4.999599999999999,42.9888,23.9942,-0.31374016,0.0,0.34335866,24.77843724,16.98716469,0.1153532,0.97920686,0.24404667
5.0,45.0,25.0,5.031999999999999,44.7348,24.8834,-0.29182578,0.0,0.37563075,24.5709489,17.32338963,0.13206278,2.13467366,0.6402802
5.0,47.0,26.0,5.0836000000000015,46.7548,25.9192,-0.28480254,0.0,0.3865093,25.19144375,17.96242169,0.13246119,1.95889757,0.73382953
5.0,49.0,27.0,5.09,49.04880000000001,27.069399999999995,-0.32068568,0.0,0.46224233,28.6081921,19.39658645,0.11434804,1.524881,0.39961324
5.0,51.0,28.0,5.0604,50.873200000000004,27.9668,-0.32358128,0.0,0.44226399,29.66440771,20.02316617,0.10712192,1.66799265,0.41679541
5.0,53.0,29.0,5.114,52.907999999999994,29.010999999999996,-0.32867596,0.0,0.47395429,31.10527496,20.85270758,0.10486231,1.6878145,0.61672012
5.0,55.0,30.0,5.0772,54.7672,29.922199999999997,-0.33995618,0.0,0.39366299,32.88199034,21.65453159,0.15412501,1.93566294,0.44572837
5.0,57.0,31.0,5.041600000000001,57.040800000000004,31.041199999999996,-0.3420147,0.0,0.39123484,34.19649682,22.45321655,0.09088741,1.99942195,0.57311989
5.0,59.0,32.0,5.0452,58.9308,31.988000000000007,-0.36102546,0.0,0.42593285,36.78975914,23.45499038,0.0742174,2.40064363,0.74349475
5.0,61.0,33.0,5.0576,60.8428,32.950199999999995,-0.36282931,0.0,0.44950458,37.87507967,24.10834719,0.12712885,1.66685963,0.62250195
5.0,63.0,34.0,5.0204,63.068,34.044200000000004,-0.37386622,0.0,0.37507821,40.48795937,25.34184386,0.08578061,1.14770295,0.41878931
5.0,65.0,35.0,5.1128,65.12880000000001,35.1208,-0.36634968,0.0,0.39641374,40.774031,25.78577216,0.09739995,2.33292988,0.66309045
5.0,67.0,36.0,5.1016,67.38080000000001,36.241200000000006,-0.38284657,0.0,0.4304628,43.79913655,27.01243802,0.12292019,1.72838106,0.61173896
5.0,69.0,37.0,4.9992,68.9316,36.9654,-0.37609203,0.0,0.38595458,43.78128584,27.25390453,0.10229696,3.23682043,1.25458898
5.0,71.0,38.0,5.013199999999999,70.862,37.9376,-0.37859999,0.0,0.3289364,45.52382688,28.27296527,0.10060924,1.80976612,0.73256143
5.0,73.0,39.0,5.028799999999999,72.9476,38.9882,-0.37859783,0.0,0.4223209,46.0622566,28.56998386,0.09818219,3.22044052,1.19312934
5.0,75.0,40.0,4.994,75.148,40.071,-0.39096705,0.0,0.40060451,49.77653434,30.28272867,0.11231776,2.19429839,0.62251238
5.0,77.0,41.0,5.002,77.2136,41.1078,-0.39505338,0.0,0.44753189,51.68329234,31.25577464,0.12674779,1.14156393,0.30742714
5.0,79.0,42.0,5.147599999999999,78.7812,41.9644,-0.39526868,0.0,0.41322084,51.95218897,31.39444244,0.08788552,2.44036474,0.97874043
5.0,81.0,43.0,5.042,81.0224,43.0322,-0.40319663,0.0,0.37778351,54.89071382,32.75326728,0.10416478,1.00904794,0.31177262
5.0,83.0,44.0,5.0384,83.1008,44.0696,-0.39970253,0.0,0.39660143,55.41731554,33.25204424,0.12728129,2.43830576,1.11914963
5.0,85.0,45.0,5.0464,84.6468,44.846599999999995,-0.40303132,0.0,0.37505782,57.73295472,34.43190573,0.11394103,2.5536897,0.84171
5.0,87.0,46.0,5.139200000000001,86.89200000000001,46.015600000000006,-0.40765146,0.0,0.4206967,59.81958327,35.40127554,0.12822738,2.83943774,1.00094796
5.0,89.0,47.0,5.091600000000001,88.664,46.87779999999999,-0.41096423,0.0,0.43896067,61.22421043,36.04385117,0.11537276,2.64645688,1.17594842
5.0,91.0,48.0,4.9799999999999995,91.2536,48.1168,-0.41876869,0.0,0.38384389,64.22934299,37.31628376,0.09725031,2.67752382,1.22879818
5.0,93.0,49.0,5.078799999999999,92.918,48.9984,-0.4172778,0.0,0.40452276,65.76023768,38.31290107,0.08386175,1.3940402,0.53071177
5.0,95.0,50.0,5.0092,94.9524,49.9808,-0.41632698,0.0,0.41414835,66.20306118,38.62874962,0.13032631,1.79670882,0.6283936
5.0,97.0,51.0,4.9596,96.8816,50.920600000000015,-0.42530358,0.0,0.35413386,69.17226563,39.73982997,0.11750878,2.40697803,1.01092497
5.0,99.0,52.0,5.0588,98.93680000000002,51.997800000000005,-0.42416428,0.0,0.3577214,70.96831476,40.84797468,0.11199484,2.32667872,0.80954723
5.0,101.0,53.0,5.0832,101.0548,53.069,-0.42492984,0.0,0.45216298,71.98470313,41.38136723,0.12241654,2.19912167,0.78501768
5.0,103.0,54.0,5.0388,103.05439999999999,54.0466,-0.42499882,0.0,0.4156134,74.00641776,42.54072989,0.09833311,2.33850994,0.92038069
5.0,105.0,55.0,5.0364,105.14759999999998,55.092000000000006,-0.42845323,0.0,0.37327763,75.81136596,43.32110242,0.09330483,1.85490597,0.69984526
5.0,107.0,56.0,5.0516,107.1464,56.09900000000001,-0.42957486,0.0,0.36814095,78.25418391,44.61230384,0.16015796,3.08021119,1.10044234
5.0,109.0,57.0,5.0496,108.7444,56.897000000000006,-0.42863708,0.0,0.36827976,78.74635903,44.97834069,0.11849904,2.28570212,0.83521771
