k1,k2,ka,k1_avg,k2_avg,ka_avg,ζ_avg,prob_avg,λ1_avg,λ2_avg,λa_avg,σ_λ1,σ_λ2,σ_λa
5.0,93.0,49.0,5.0,93.0,49.0,-0.47064812,0.0,1.04293542,76.01675937,40.23959572,0.02171144,0.15705009,0.0932946
5.0,95.0,50.0,5.0,95.0,50.0,-0.47147298,0.0,1.04006559,77.90014999,41.17225643,0.02212939,0.18425894,0.08688924
5.0,97.0,51.0,5.0,97.0,51.0,-0.47195345,0.0,1.03925896,79.76247191,42.11828941,0.02470108,0.15255711,0.09524323
5.0,99.0,52.0,5.0,99.0,52.0,-0.47246041,0.0,1.03953253,81.58585818,43.03970916,0.02081418,0.19281052,0.09315896
5.0,101.0,53.0,5.0,101.0,53.0,-0.47317283,0.0,1.03458346,83.44510376,43.96105703,0.02785467,0.18599789,0.08540196
5.0,103.0,54.0,5.0,103.0,54.0,-0.47381123,0.0,1.04140311,85.34906734,44.90966149,0.02477631,0.17478745,0.09606992
5.0,105.0,55.0,5.0,105.0,55.0,-0.47423375,0.0,1.03950694,87.24093347,45.86826999,0.02315789,0.1779522,0.08667902
5.0,107.0,56.0,5.0,107.0,56.0,-0.47495492,0.0,1.04098585,89.09128738,46.77692429,0.01959012,0.20630516,0.11584729
5.0,109.0,57.0,5.0,109.0,57.0,-0.47535591,0.0,1.04169684,91.02758819,47.75707431,0.02323071,0.14687369,0.090788
7.0,5.0,6.0,7.0,5.0,6.0,0.25935969,1.0,2.17363532,1.04106608,2.73701109,0.0294778,0.01774419,0.02844903
7.0,7.0,7.0,7.0,7.0,7.0,0.58104074,1.0,2.17063441,2.17407094,3.46470204,0.03245259,0.03584678,0.03500913
7.0,9.0,8.0,7.0,9.0,8.0,0.21854569,1.0,2.16752732,3.44115681,4.19272758,0.03211175,0.03914527,0.03183798
7.0,11.0,9.0,7.0,11.0,9.0,0.03376674,1.0,2.17387225,4.79641023,4.95772638,0.03430308,0.05800776,0.03004502
7.0,13.0,10.0,7.0,13.0,10.0,-0.07777726,0.0,2.16820639,6.23069643,5.7455196,0.03309545,0.06291393,0.03723227
7.0,15.0,11.0,7.0,15.0,11.0,-0.15187038,0.0,2.1757943,7.71379184,6.54186439,0.0315096,0.06329504,0.03674055
7.0,17.0,12.0,7.0,17.0,12.0,-0.20398825,0.0,2.17120014,9.20871616,7.32994048,0.03482332,0.06496748,0.04504857
7.0,19.0,13.0,7.0,19.0,13.0,-0.24384348,0.0,2.17254811,10.7648517,8.1395715,0.0378234,0.08889346,0.04911926
7.0,21.0,14.0,7.0,21.0,14.0,-0.2727535,0.0,2.16788212,12.33876218,8.9730349,0.0394494,0.08210786,0.04518334
7.0,23.0,15.0,7.0,23.0,15.0,-0.29773393,0.0,2.16688078,13.94722338,9.794477,0.03648129,0.07015704,0.04248401
7.0,25.0,16.0,7.0,25.0,16.0,-0.31687577,0.0,2.17032559,15.56881903,10.63522843,0.03730797,0.0863901,0.04880851
7.0,27.0,17.0,7.0,27.0,17.0,-0.33476229,0.0,2.1714994,17.2283582,11.46076183,0.03542463,0.08379257,0.05162919
7.0,29.0,18.0,7.0,29.0,18.0,-0.34785144,0.0,2.17156726,18.88462177,12.31541726,0.0398085,0.0946914,0.06021732
7.0,31.0,19.0,7.0,31.0,19.0,-0.35769786,0.0,2.17061187,20.51739261,13.17822827,0.02950761,0.0825595,0.05520499
7.0,33.0,20.0,7.0,33.0,20.0,-0.36931703,0.0,2.1754501,22.24375057,14.02861512,0.03536465,0.11024417,0.06864174
7.0,35.0,21.0,7.0,35.0,21.0,-0.37708296,0.0,2.1764348,23.92506807,14.90321849,0.03060159,0.08967624,0.05171333
7.0,37.0,22.0,7.0,37.0,22.0,-0.38448826,0.0,2.18301587,25.60882872,15.76235991,0.03341219,0.11438834,0.05911824
7.0,39.0,23.0,7.0,39.0,23.0,-0.39249845,0.0,2.17107477,27.36717036,16.6254646,0.03351912,0.11377818,0.06144739
7.0,41.0,24.0,7.0,41.0,24.0,-0.39766562,0.0,2.17355151,29.0616008,17.50451823,0.03669337,0.13746322,0.06032013
7.0,43.0,25.0,7.0,43.0,25.0,-0.40312338,0.0,2.16660901,30.808925,18.38898698,0.03546543,0.11224616,0.05754385
7.0,45.0,26.0,7.0,45.0,26.0,-0.40775301,0.0,2.17786238,32.52269792,19.26132377,0.02661266,0.1288965,0.07068872
7.0,47.0,27.0,7.0,47.0,27.0,-0.41245298,0.0,2.17435377,34.28975708,20.14667707,0.03319739,0.13040071,0.0588173
7.0,49.0,28.0,7.0,49.0,28.0,-0.41673309,0.0,2.15657417,36.06031517,21.03265042,0.0381046,0.12705039,0.06880223
7.0,51.0,29.0,7.0,51.0,29.0,-0.42048364,0.0,2.17496671,37.81421602,21.91386023,0.03625121,0.11231574,0.07068618
7.0,53.0,30.0,7.0,53.0,30.0,-0.42326472,0.0,2.17549171,39.53493268,22.80109207,0.03936359,0.13862084,0.08666408
7.0,55.0,31.0,7.0,55.0,31.0,-0.42635528,0.0,2.17200899,41.33682568,23.71256482,0.03366564,0.1362839,0.07352268
7.0,57.0,32.0,7.0,57.0,32.0,-0.42947626,0.0,2.17932884,43.15972362,24.62352312,0.02997302,0.16195899,0.08628911
7.0,59.0,33.0,7.0,59.0,33.0,-0.43262393,0.0,2.17147347,44.98450607,25.52303994,0.03498085,0.12763962,0.07363168
7.0,61.0,34.0,7.0,61.0,34.0,-0.43495199,0.0,2.17453159,46.73858953,26.40938775,0.03782341,0.14918662,0.06470068
7.0,63.0,35.0,7.0,63.0,35.0,-0.43717634,0.0,2.16318007,48.52542051,27.31116919,0.03526192,0.14770466,0.08677205
7.0,65.0,36.0,7.0,65.0,36.0,-0.43903169,0.0,2.17153484,50.33954104,28.23876374,0.02982016,0.14506903,0.07838693
7.0,67.0,37.0,7.0,67.0,37.0,-0.441027,0.0,2.17499502,52.11698496,29.13193644,0.03381594,0.13152385,0.08539302
