k1,k2,ka,k1_avg,k2_avg,ka_avg,ζ_avg,prob_avg,λ1_avg,λ2_avg,λa_avg,σ_λ1,σ_λ2,σ_λa
5.0,5.0,5.0,5.0772,5.0927999999999995,5.085,3.71387941,1.0,0.41135542,0.42992942,2.22620778,0.0931119,0.09665013,0.09130236
5.0,7.0,6.0,5.002,6.88,5.941000000000001,2.81998444,1.0,0.43055985,0.75530433,2.83004356,0.09536336,0.09364811,0.07545243
5.0,9.0,7.0,5.016800000000001,8.94,6.978399999999999,2.27138695,1.0,0.43214172,1.23508996,3.57170877,0.10075678,0.44056417,0.10256013
5.0,11.0,8.0,5.0847999999999995,10.9812,8.032999999999998,1.0638895,1.0,0.406387,2.34969726,4.3366585,0.1294692,0.59699139,0.07097385
5.0,13.0,9.0,5.0816,12.9516,9.0166,0.57225591,1.0,0.35327699,3.32097864,5.06960324,0.091756,0.58311137,0.09168807
5.0,15.0,10.0,5.0784,14.976400000000002,10.027399999999998,0.4142483,1.0,0.44820896,4.17768567,5.82422516,0.08005832,0.53403844,0.10104118
5.0,17.0,11.0,5.012,16.922,10.967,0.17572997,1.0,0.42321084,5.57901211,6.53427546,0.11037351,0.41086355,0.14697874
5.0,19.0,12.0,5.0552,18.988,12.021600000000001,0.05195399,0.5,0.43338362,7.05603859,7.33762547,0.09452833,0.76426677,0.14100142
5.0,21.0,13.0,5.066799999999999,20.9204,12.9936,0.01771002,0.6,0.39738776,8.03351554,8.1031072,0.12718902,0.852853,0.11166856
5.0,23.0,14.0,5.067200000000001,22.950400000000002,14.008799999999999,-0.06370814,0.2,0.34951054,9.55247051,8.86684025,0.1359784,0.93301456,0.12386218
5.0,25.0,15.0,5.1136,24.9084,15.011000000000001,-0.09627002,0.2,0.44507548,10.84104065,9.6804245,0.09072972,1.2145694,0.13362376
5.0,27.0,16.0,4.9884,26.97,15.9792,-0.07977546,0.3,0.4565529,11.49169423,10.30838845,0.13125515,1.9996418,0.2332325
5.0,29.0,17.0,5.051200000000001,29.082,17.0666,-0.13028988,0.2,0.35514008,13.08348956,11.2098818,0.07913363,1.71963324,0.29944919
5.0,31.0,18.0,5.0855999999999995,31.112000000000002,18.0988,-0.18112641,0.1,0.36183792,14.88285134,12.02498019,0.11748292,1.84270565,0.37683505
5.0,33.0,19.0,5.008,33.008,19.008,-0.22673693,0.0,0.40880394,16.63465239,12.84344682,0.0946549,0.71795789,0.18738027
5.0,35.0,20.0,5.0804,35.0228,20.0516,-0.22513284,0.0,0.43926482,17.62110879,13.55900728,0.15844177,1.68104755,0.30851325
5.0,37.0,21.0,5.034400000000001,37.068000000000005,21.0512,-0.25559352,0.0,0.43739369,19.38086235,14.39617616,0.12423669,1.1059597,0.29233257
5.0,39.0,22.0,5.0024,39.0436,22.022999999999996,-0.27252562,0.0,0.34476455,20.94035091,15.20872116,0.10827772,1.02379579,0.24231254
5.0,41.0,23.0,5.0724,40.9772,23.024800000000003,-0.26868372,0.0,0.46356979,21.97683481,16.03549698,0.11660111,1.26177511,0.29411802
5.0,43.0,24.0,5.09,42.928000000000004,24.009,-0.27608075,0.0,0.33628711,23.23225376,16.74631002,0.06571679,1.88854551,0.54090403
5.0,45.0,25.0,5.102799999999999,45.065599999999996,25.084200000000003,-0.28574063,0.0,0.47852456,24.62260764,17.55387987,0.07752105,1.40664606,0.4731991
5.0,47.0,26.0,5.0548,46.882000000000005,25.968400000000003,-0.31764323,0.0,0.47102334,27.11826983,18.47342323,0.08665964,1.45759604,0.41452905
5.0,49.0,27.0,5.09,48.8784,26.984200000000005,-0.31061244,0.0,0.43604656,27.79334074,19.09948433,0.09109295,2.0928435,0.60118383
5.0,51.0,28.0,5.049200000000001,50.769999999999996,27.9096,-0.33827846,0.0,0.38391657,30.47660962,20.14476114,0.12591204,1.25828515,0.25894347
5.0,53.0,29.0,5.117999999999999,53.120400000000004,29.1192,-0.34010066,0.0,0.37106433,32.19241202,21.22161233,0.09474838,1.26994239,0.36867115
5.0,55.0,30.0,5.06,54.83919999999999,29.949600000000004,-0.32764579,0.0,0.40217517,31.63012622,21.1619393,0.10177544,3.08036099,1.08503974
5.0,57.0,31.0,5.11,56.8908,31.000400000000003,-0.35659831,0.0,0.42061824,35.30158846,22.69408115,0.08290917,1.35259251,0.3911759
5.0,59.0,32.0,5.0764,58.96959999999999,32.023,-0.35346465,0.0,0.45711089,36.39603528,23.47865442,0.12217378,2.41603287,0.80162311
5.0,61.0,33.0,5.037599999999999,60.838,32.937799999999996,-0.35431666,0.0,0.41028602,37.15463968,23.97344615,0.1145887,1.42348815,0.47956418
5.0,63.0,34.0,5.0528,63.028799999999976,34.040800000000004,-0.35371316,0.0,0.37769088,38.48579873,24.84047224,0.11634499,1.98604972,0.70788872
5.0,65.0,35.0,5.0443999999999996,64.8124,34.9284,-0.37831377,0.0,0.37007483,41.93095448,26.04138658,0.11490188,1.89275488,0.56392518
5.0,67.0,36.0,5.0588,67.10560000000001,36.0822,-0.36655065,0.0,0.40880994,42.11106523,26.64431329,0.10046538,1.9736548,0.64402209
5.0,69.0,37.0,5.0944,68.91239999999999,37.0034,-0.37308006,0.0,0.30455065,43.57033195,27.28586003,0.09918977,2.46361456,1.01887384
5.0,71.0,38.0,5.0691999999999995,71.0036,38.0364,-0.37183749,0.0,0.39874321,44.52178472,27.93283322,0.12410151,3.17721519,1.5654716
5.0,73.0,39.0,5.033199999999999,73.0444,39.038799999999995,-0.39262216,0.0,0.43479563,48.31220587,29.31196482,0.13805835,2.22579905,0.63175658
5.0,75.0,40.0,5.061999999999999,75.16159999999999,40.1118,-0.39430152,0.0,0.38663133,50.26748496,30.43188634,0.11158282,1.83007771,0.71018654
5.0,77.0,41.0,5.099600000000001,76.93679999999999,41.01820000000001,-0.39001467,0.0,0.44100159,50.41651276,30.71537149,0.07227942,2.58198371,0.77374918
5.0,79.0,42.0,5.1056,78.782,41.943799999999996,-0.39601927,0.0,0.41529089,52.47761328,31.68004446,0.12940095,1.90850853,0.76519781
5.0,81.0,43.0,5.1144,80.85079999999999,42.9826,-0.40308466,0.0,0.44299237,55.06619521,32.86200674,0.09477154,1.64646006,0.83179114
5.0,83.0,44.0,5.1212,83.024,44.07260000000001,-0.40271402,0.0,0.39931904,56.36523573,33.64176885,0.10719028,2.14114737,0.59511393
5.0,85.0,45.0,5.0944,85.08279999999999,45.08860000000001,-0.40795361,0.0,0.45922554,59.14215896,34.9886061,0.14442582,2.32218758,0.68981937
5.0,87.0,46.0,5.062799999999999,86.81280000000001,45.9378,-0.40787881,0.0,0.39279911,58.91334449,34.87855168,0.09920725,1.61077821,0.8106477
5.0,89.0,47.0,5.0908,88.8924,46.991600000000005,-0.41211678,0.0,0.41165626,61.76947914,36.29705227,0.11858629,2.10657086,0.75201211
5.0,91.0,48.0,4.99,90.78200000000001,47.886,-0.4111685,0.0,0.36704123,62.02472599,36.5119606,0.08769951,2.46817415,1.27886403
5.0,93.0,49.0,5.079199999999999,93.09639999999999,49.0878,-0.41326932,0.0,0.4066621,65.00449229,38.12174158,0.12299453,2.74546343,1.20611203
5.0,95.0,50.0,4.9868,94.88640000000001,49.936600000000006,-0.41940361,0.0,0.45112831,66.90244851,38.82609498,0.11584998,2.74514936,1.15903207
5.0,97.0,51.0,5.0756000000000006,97.08879999999999,51.0822,-0.40959692,0.0,0.41631523,66.97050391,39.50400835,0.11478702,2.61801496,0.87921936
5.0,99.0,52.0,4.982000000000001,98.8044,51.8932,-0.41873554,0.0,0.40150808,68.69338861,39.91277166,0.08998621,3.02870492,1.42620379
5.0,101.0,53.0,5.0527999999999995,101.0096,53.0312,-0.42295568,0.0,0.45445347,70.91657469,40.91334876,0.09976753,2.59934891,1.28327085
5.0,103.0,54.0,5.0600000000000005,102.9884,54.02419999999999,-0.42502779,0.0,0.43625739,73.74465987,42.37644026,0.10061352,3.07917868,1.21640241
5.0,105.0,55.0,5.0384,105.48719999999999,55.262800000000006,-0.42632243,0.0,0.38977809,74.94205965,42.98597948,0.11612149,2.27691918,1.09541423
5.0,107.0,56.0,5.0088,107.15040000000002,56.07959999999999,-0.42914195,0.0,0.40399603,78.20571219,44.64246526,0.08250947,1.34018588,0.68810873
5.0,109.0,57.0,5.0448,109.2216,57.13320000000001,-0.42827022,0.0,0.40788267,79.19029428,45.25846012,0.09427081,2.65255416,1.01737684
7.0,5.0,6.0,6.9556,5.1428,6.049200000000001,2.85791186,1.0,0.77297882,0.44683375,2.90185847,0.15484283,0.1129193,0.06943598
7.0,7.0,7.0,6.9868,7.111199999999999,7.049000000000001,3.525226,1.0,0.70793736,0.78881375,3.65809609,0.11089281,0.09489759,0.09488141
7.0,9.0,8.0,7.0276,9.042,8.0348,3.14292609,1.0,0.72072848,1.12723187,4.39991442,0.2222242,0.39014157,0.1089226
7.0,11.0,9.0,7.0048,11.0428,9.0238,2.16250054,1.0,0.76286141,1.9308359,5.1451661,0.13073407,0.66561202,0.10993205
7.0,13.0,10.0,7.0536,13.021199999999999,10.037400000000002,0.85280168,1.0,0.87100023,3.2466652,5.9201254,0.20185253,0.43141393,0.09850666
7.0,15.0,11.0,6.9604,15.0228,10.9916,0.72022292,1.0,0.71606445,4.07496656,6.6665846,0.12058316,0.90031531,0.09177956
