k1,k2,ka,k1_avg,k2_avg,ka_avg,ζ_avg,prob_avg,λ1_avg,λ2_avg,λa_avg,σ_λ1,σ_λ2,σ_λa
5.0,5.0,5.0,5.016399999999999,5.034000000000001,5.0252,3.72820897,1.0,0.38131443,0.4446595,2.18381759,0.11309064,0.121238,0.09073967
5.0,7.0,6.0,5.1384,7.0224,6.0804,2.84874825,1.0,0.43622845,0.7737596,2.92670608,0.0895309,0.24006981,0.09829825
5.0,9.0,7.0,5.0784,9.069600000000001,7.074,1.42889714,1.0,0.39987449,1.59758121,3.64708832,0.10720927,0.34250911,0.09621126
5.0,11.0,8.0,5.050800000000001,11.036800000000001,8.043800000000001,1.04528345,1.0,0.39586021,2.20248656,4.34126694,0.13952944,0.44655857,0.10238977
5.0,13.0,9.0,5.0596000000000005,13.014000000000001,9.0368,0.73510346,1.0,0.42619498,3.10344868,5.08895169,0.10617024,0.74258768,0.12631191
5.0,15.0,10.0,5.0656,15.1236,10.0946,0.55224234,1.0,0.43547156,4.15731982,5.90433622,0.12406222,1.03380484,0.11028376
5.0,17.0,11.0,5.0527999999999995,16.9916,11.022199999999998,0.31374143,1.0,0.43075377,5.18128022,6.57155049,0.118299,0.94806409,0.09204984
5.0,19.0,12.0,5.0232,19.0084,12.015800000000002,0.11347051,0.9,0.40411478,6.71037681,7.35135367,0.09415141,0.84499886,0.10716785
5.0,21.0,13.0,5.1196,21.0224,13.070999999999998,0.11408932,0.6,0.48566533,7.54423722,8.1526216,0.11898359,1.38725279,0.17543227
5.0,23.0,14.0,4.9963999999999995,22.882800000000003,13.939599999999999,0.04967901,0.6,0.38906929,8.55341423,8.74624276,0.1147495,1.36830573,0.17115265
5.0,25.0,15.0,5.0876,25.1504,15.119,-0.11390806,0.0,0.36241522,11.01537173,9.74744992,0.12703521,0.44531412,0.13725545
5.0,27.0,16.0,5.108,26.8716,15.989800000000002,-0.14321384,0.0,0.49120724,12.29127537,10.46382274,0.0826722,1.03240699,0.13577202
5.0,29.0,17.0,5.038,29.208799999999997,17.1234,-0.14453879,0.0,0.3762962,13.31783682,11.35735628,0.10193719,0.81059724,0.15829147
5.0,31.0,18.0,5.0684000000000005,31.0808,18.074599999999997,-0.21450123,0.0,0.39091132,15.4562647,12.11821852,0.09503419,0.77659646,0.17585906
5.0,33.0,19.0,5.032,32.9568,18.9944,-0.21514818,0.0,0.46850434,16.31891055,12.7797813,0.11118452,0.8502312,0.19081217
5.0,35.0,20.0,5.1144,35.2104,20.162399999999998,-0.25954254,0.0,0.45360961,18.70036967,13.80243344,0.06272944,1.19311473,0.22456795
