k1,k2,ka,k1_avg,k2_avg,ka_avg,ξ_avg,prob_avg,λ1_avg,λ2_avg,λa_avg,σ_λ1,σ_λ2,σ_λa
5.0,5.0,5.0,5.039119999999999,5.073040000000001,5.056080000000001,1.52428253,1.0,0.33393661,0.35050728,0.95348308,0.07924101,0.09854934,0.15117191
5.0,6.0,5.5,5.074760000000001,6.02448,5.54962,1.28791806,1.0,0.32604355,0.50757941,1.12046971,0.07827051,0.1252835,0.19018352
5.0,7.0,6.0,5.05812,6.992720000000003,6.025419999999997,1.059815,1.0,0.34173418,0.6573169,1.31661951,0.09223327,0.1455126,0.25324161
5.0,8.0,6.5,5.069360000000001,7.992120000000001,6.530740000000001,0.90994605,1.0,0.31689034,0.80920156,1.53590789,0.0846785,0.07289594,0.23786301
5.0,9.0,7.0,5.046480000000001,9.02828,7.037379999999998,0.73951086,0.98,0.35529331,1.04326576,1.71001056,0.08354757,0.31878119,0.31615029
5.0,10.0,7.5,5.059439999999998,9.99084,7.525140000000002,0.57513926,0.9,0.3577616,1.38678801,1.96347139,0.08765031,0.46969295,0.38722392
5.0,11.0,8.0,5.065999999999999,11.021880000000001,8.04394,0.36128632,0.76,0.33050842,1.84684753,2.24554238,0.07792355,0.60366919,0.40222132
5.0,12.0,8.5,5.07688,11.96184,8.51936,0.23334965,0.7,0.34919258,2.2657368,2.54614231,0.09191801,0.68708475,0.38346927
5.0,13.0,9.0,5.060440000000001,12.97396,9.017199999999997,0.12067825,0.56,0.3387824,2.73299076,2.84691381,0.08628905,0.69300486,0.39602136
5.0,14.0,9.5,5.068760000000001,13.999799999999999,9.534279999999999,-0.02324305,0.32,0.31849928,3.29416696,3.05299523,0.09415431,0.79698645,0.46576263
5.0,15.0,10.0,5.03652,14.98328,10.009899999999998,-0.03811355,0.34,0.32736284,3.71519598,3.40472265,0.07520043,0.78702487,0.50253728
5.0,16.0,10.5,5.0609600000000015,16.003920000000004,10.532439999999998,-0.13557875,0.16,0.35332165,4.42329031,3.74682827,0.09784725,0.7696298,0.46011109
5.0,17.0,11.0,5.0728800000000005,16.996600000000004,11.034739999999994,-0.14772752,0.12,0.36196456,4.85680713,4.03950582,0.09701932,0.78328843,0.38427091
5.0,18.0,11.5,5.07176,17.98644,11.529099999999998,-0.14988918,0.18,0.34927153,5.22623831,4.27113512,0.09274295,1.04669744,0.48857807
5.0,19.0,12.0,5.0701600000000004,18.9534,12.011780000000002,-0.20785929,0.04,0.34498108,6.09451671,4.77036251,0.09842946,0.83308211,0.51537412
5.0,20.0,12.5,5.050559999999999,20.016479999999998,12.53352,-0.22410196,0.06,0.35464908,6.64306837,5.06223985,0.08033407,0.96260342,0.47743412
5.0,21.0,13.0,5.0728,21.020279999999993,13.046540000000002,-0.26693066,0.0,0.33098945,7.39362598,5.38258148,0.080145,0.91089817,0.52140545
5.0,22.0,13.5,5.060879999999999,21.912639999999993,13.486760000000006,-0.25979223,0.04,0.33543681,7.81266468,5.65006814,0.08638559,1.30253793,0.61330107
5.0,23.0,14.0,5.058960000000002,22.99728,14.02812,-0.30481159,0.0,0.3526426,8.57827401,5.92891023,0.09091321,0.91828284,0.56761187
5.0,24.0,14.5,5.072079999999999,24.049320000000012,14.560699999999995,-0.34184385,0.0,0.34968941,9.46158811,6.19193162,0.1018335,1.00892163,0.58937407
5.0,25.0,15.0,5.046880000000001,24.947119999999995,14.997000000000003,-0.32852089,0.02,0.34206161,9.76517895,6.51197534,0.08023388,1.05062553,0.70110007
5.0,26.0,15.5,5.0628400000000005,25.995839999999998,15.529340000000005,-0.32443201,0.0,0.32807347,10.4531886,7.01998482,0.09000057,1.00840486,0.46190683
5.0,27.0,16.0,5.06948,26.96116000000001,16.015320000000003,-0.34806599,0.0,0.34129482,10.85458891,7.04194661,0.0778373,1.08043266,0.61356868
5.0,28.0,16.5,5.06904,27.949360000000006,16.509200000000003,-0.35323594,0.0,0.33266997,11.77348934,7.58039587,0.07967836,1.27208725,0.71702433
5.0,29.0,17.0,5.077880000000002,29.07344000000001,17.075659999999996,-0.35713455,0.0,0.34380714,12.28986127,7.8581188,0.09516859,1.29595203,0.69051016
5.0,30.0,17.5,5.04272,30.008000000000003,17.525360000000006,-0.36962833,0.0,0.34151081,13.0809837,8.21236157,0.08583614,1.23004183,0.6613753
5.0,31.0,18.0,5.06384,30.943839999999994,18.003840000000004,-0.37308898,0.0,0.35386721,14.00519235,8.73697492,0.08091484,1.09005109,0.49758655
5.0,32.0,18.5,5.058400000000001,32.04528,18.55184,-0.38219831,0.0,0.34327216,14.75347552,9.09614544,0.08905062,1.1551256,0.69536032
5.0,33.0,19.0,5.04964,33.024640000000005,19.037139999999997,-0.38398001,0.0,0.33370344,15.43648557,9.48793405,0.08644203,1.05320838,0.63250834
5.0,34.0,19.5,5.0571600000000005,33.99164,19.5244,-0.38287802,0.0,0.33891558,15.77094777,9.70769619,0.08878093,1.25525411,0.70971537
5.0,35.0,20.0,5.06192,34.98543999999999,20.02368,-0.39680229,0.0,0.34183097,16.71452511,10.06203233,0.0985752,1.2460399,0.78244709
5.0,36.0,20.5,5.04788,36.02075999999999,20.534319999999997,-0.38995939,0.0,0.34692429,17.26847051,10.50212925,0.08634147,1.27306931,0.70761085
5.0,37.0,21.0,5.0733999999999995,36.99608,21.034740000000003,-0.40175129,0.0,0.34818188,18.53497512,11.07327021,0.0827784,1.12733341,0.61665929
5.0,38.0,21.5,5.093560000000001,38.01124,21.552400000000002,-0.40464836,0.0,0.35166011,19.17707205,11.4021683,0.10561756,1.20486472,0.67226569
5.0,39.0,22.0,5.067679999999999,38.962199999999996,22.014939999999996,-0.40581589,0.0,0.35009876,19.48035549,11.56566131,0.1078546,1.37444412,0.82545255
5.0,40.0,22.5,5.067280000000002,39.94720000000001,22.507239999999996,-0.4058084,0.0,0.34536998,19.80881358,11.75193722,0.0727811,1.49599459,0.86753721
5.0,41.0,23.0,5.08312,41.02475999999999,23.053940000000008,-0.40797371,0.0,0.34481161,20.71678767,12.23852118,0.08742173,1.40112553,0.68279086
5.0,42.0,23.5,5.068120000000001,41.98532,23.526720000000005,-0.40819937,0.0,0.33802711,21.40523654,12.62323788,0.08584486,1.79049437,0.84542589
5.0,43.0,24.0,5.074960000000001,42.97115999999999,24.023060000000005,-0.41385401,0.0,0.33886827,22.44139656,13.13560277,0.08347103,1.38627403,0.80850956
5.0,44.0,24.5,5.0708400000000005,43.880999999999986,24.47591999999999,-0.41603803,0.0,0.33905056,22.96500136,13.39407209,0.11034852,1.47398093,0.80603353
5.0,45.0,25.0,5.045,45.00459999999999,25.02480000000001,-0.41598714,0.0,0.32191789,23.28043567,13.56596377,0.08854992,1.94271157,0.96506776
5.0,46.0,25.5,5.0613600000000005,45.9962,25.528780000000005,-0.42594053,0.0,0.33112524,24.10617308,13.81849494,0.09794605,1.70717613,0.99543295
5.0,47.0,26.0,5.05732,47.02820000000001,26.04276,-0.42132907,0.0,0.31633587,25.16846921,14.55678044,0.09063718,1.60204985,0.95125259
5.0,48.0,26.5,5.063360000000001,47.92444000000001,26.493900000000004,-0.43210831,0.0,0.34234585,26.14285844,14.83209335,0.08988735,1.63861504,0.94405461
5.0,49.0,27.0,5.059800000000001,48.97468000000001,27.01724,-0.43322975,0.0,0.33898946,26.93877603,15.24501204,0.09204397,1.75264099,0.87860075
5.0,50.0,27.5,5.060559999999999,49.98799999999999,27.524280000000008,-0.43517585,0.0,0.33043087,27.56556994,15.55250325,0.08099477,1.59241469,0.83273183
5.0,51.0,28.0,5.06584,50.971,28.018420000000003,-0.43206972,0.0,0.33024863,28.25960672,16.02313291,0.08579823,2.00378774,1.04327498
5.0,52.0,28.5,5.05532,51.99859999999999,28.52696000000001,-0.43156431,0.0,0.36373042,29.16868852,16.55793158,0.08683953,1.67783461,0.79711435
5.0,53.0,29.0,5.09412,52.94739999999999,29.020759999999996,-0.42889715,0.0,0.34309655,29.67546342,16.94083971,0.09367649,2.15018222,1.2285636
5.0,54.0,29.5,5.084199999999998,54.11168,29.59794000000001,-0.43536811,0.0,0.3584556,30.82161994,17.38270239,0.10541283,1.80881693,0.89212164
5.0,55.0,30.0,5.052679999999999,55.07071999999998,30.06170000000001,-0.43618609,0.0,0.33513765,31.48920086,17.74257252,0.09086844,1.54777356,0.82033034
5.0,56.0,30.5,5.048000000000002,55.949040000000004,30.49852,-0.43642312,0.0,0.33274255,32.11069153,18.07856187,0.08199662,1.68424775,0.83647214
